listing_id,occ_10,days_10,occ_11,days_11,occ_12,days_12,y_occupied_q4,days_observed
782063,30,30,29,29,26,26,85,85
783202,26,30,20,29,23,27,69,86
783341,30,30,7,29,24,27,61,86
784088,30,30,29,29,26,26,85,85
784122,5,30,29,29,27,27,61,86
784124,30,30,29,29,1,27,60,86
785097,30,30,29,29,26,26,85,85
785166,30,30,29,29,26,26,85,85
785978,30,30,29,29,26,26,85,85
786685,28,30,16,29,6,28,50,87
787060,18,30,0,29,0,27,18,86
788035,30,30,29,29,26,26,85,85
789302,30,30,19,29,27,27,76,86
789476,30,30,29,29,26,26,85,85
789686,30,30,29,29,26,26,85,85
790767,30,30,29,29,26,26,85,85
794156,29,30,29,29,27,27,85,86
794281,30,30,29,29,26,26,85,85
794425,30,30,29,29,26,26,85,85
794427,30,30,29,29,26,26,85,85
794496,30,30,29,29,26,26,85,85
795641,2,30,3,29,3,28,8,87
796232,30,30,29,29,26,26,85,85
797696,30,30,29,29,26,26,85,85
798008,30,30,29,29,26,26,85,85
799924,30,30,29,29,26,26,85,85
804194,29,30,26,29,26,28,81,87
808476,2,30,13,29,0,28,15,87
810346,30,30,29,29,26,26,85,85
811238,3,30,3,29,2,27,8,86
812671,17,30,28,29,17,26,62,85
813554,30,30,29,29,26,26,85,85
814327,0,30,0,29,0,27,0,86
816888,28,30,11,29,28,28,67,87
817113,18,30,17,29,28,28,63,87
818084,21,30,1,29,0,27,22,86
818325,30,30,29,29,27,27,86,86
818481,0,30,1,29,0,28,1,87
818518,18,30,7,29,0,28,25,87
819206,30,30,29,29,0,27,59,86
819228,30,30,29,29,2,28,61,87
819893,0,30,0,29,0,28,0,87
819956,2,30,2,29,1,27,5,86
820801,30,30,29,29,26,26,85,85
820953,30,30,29,29,10,28,69,87
821135,30,30,29,29,26,26,85,85
824421,30,30,29,29,26,26,85,85
825129,30,30,29,29,26,28,85,87
825193,30,30,29,29,26,26,85,85
826685,17,30,21,29,5,27,43,86
828130,0,30,0,29,0,27,0,86
828553,30,30,29,29,27,27,86,86
828616,30,30,29,29,9,28,68,87
829935,30,30,29,29,26,26,85,85
831911,30,30,29,29,26,26,85,85
832596,30,30,29,29,26,26,85,85
836720,31,31,29,29,11,28,71,88
837503,23,30,28,29,27,27,78,86
838070,11,30,29,29,18,28,58,87
838586,30,30,29,29,26,26,85,85
840731,3,30,3,29,3,27,9,86
840794,30,30,29,29,26,26,85,85
841075,30,30,29,29,26,26,85,85
841484,30,30,29,29,26,26,85,85
842167,30,30,29,29,26,26,85,85
842494,30,30,29,29,26,26,85,85
844319,31,31,26,29,0,28,57,88
846549,30,30,29,29,26,26,85,85
846854,7,30,28,29,14,28,49,87
847648,30,30,29,29,28,28,87,87
848071,17,30,29,29,7,27,53,86
848718,27,30,21,29,19,27,67,86
849603,29,30,29,29,26,26,84,85
850148,30,30,29,29,26,26,85,85
850338,30,30,29,29,27,27,86,86
850517,14,30,29,29,27,27,70,86
850712,27,30,29,29,26,26,82,85
850943,30,30,12,29,27,27,69,86
851772,30,30,0,0,0,0,30,30
852118,24,30,0,29,0,26,24,85
852632,29,30,29,29,18,28,76,87
854396,30,30,27,29,25,28,82,87
855549,0,30,7,29,6,26,13,85
856440,30,30,29,29,26,26,85,85
